************* Module sfclient
E:4503, 0: invalid syntax (syntax-error)
E:256, 8: Undefined variable 'time_calc' (undefined-variable)
E:258, 7: Undefined variable 'session_id' (undefined-variable)
E:259, 8: Undefined variable 'log' (undefined-variable)
E:263, 8: Undefined variable 'show_login_screen' (undefined-variable)
E:265, 8: Undefined variable 'log' (undefined-variable)
E:265,52: Undefined variable 'session_id' (undefined-variable)
E:267,20: Undefined variable 'SG' (undefined-variable)
E:267,46: Using variable 'gilden_id' before assignment (used-before-assignment)
E:268,33: Undefined variable 'SG' (undefined-variable)
E:270,12: Undefined variable 'send_action' (undefined-variable)
E:271,16: Undefined variable 'ACT' (undefined-variable)
E:272,25: Undefined variable 'SG' (undefined-variable)
E:275,13: Undefined variable 'SG' (undefined-variable)
E:276,44: Undefined variable 'on_stage' (undefined-variable)
E:276,53: Undefined variable 'POST' (undefined-variable)
E:279,20: Undefined variable 'SG' (undefined-variable)
E:280, 8: Undefined variable 'request_logout' (undefined-variable)
E:282, 7: Using variable 'next_pxl' before assignment (used-before-assignment)
R: 89, 0: Too many branches (38/12) (too-many-branches)
R: 89, 0: Too many statements (114/50) (too-many-statements)
W:178, 8: Unused variable 'char_mouth' (unused-variable)
W:114, 4: Unused variable 'can_rob' (unused-variable)
W:200,16: Unused variable 'text' (unused-variable)
W:190, 8: Unused variable 'char_color' (unused-variable)
W:186, 8: Unused variable 'char_special2' (unused-variable)
W:171, 8: Unused variable 'album_effect' (unused-variable)
W:277, 8: Unused variable 'pulse_post' (unused-variable)
W:153, 8: Unused variable 'pulse_char' (unused-variable)
W:182, 8: Unused variable 'char_brows' (unused-variable)
W:179, 8: Unused variable 'char_beard' (unused-variable)
W:177, 8: Unused variable 'char_class' (unused-variable)
W:147, 4: Unused variable 'debug_info' (unused-variable)
W:157, 4: Unused variable 'friend_link' (unused-variable)
W:175, 8: Unused variable 'char_volk' (unused-variable)
W:183, 8: Unused variable 'char_ears' (unused-variable)
W:201,16: Unused variable 'x' (unused-variable)
W:152, 8: Unused variable 'level_up' (unused-variable)
W:180, 8: Unused variable 'char_nose' (unused-variable)
W:185, 8: Unused variable 'char_special' (unused-variable)
W:181, 8: Unused variable 'char_eyes' (unused-variable)
W:176, 8: Unused variable 'char_male' (unused-variable)
W:255, 8: Unused variable 'local_time' (unused-variable)
W:113, 4: Unused variable 'has_mirror' (unused-variable)
E:292,10: Undefined variable 'stObject' (undefined-variable)
E:293, 8: Undefined variable 'stObject' (undefined-variable)


Report
======
147 statements analysed.

Raw metrics
-----------

+----------+-------+------+---------+-----------+
|type      |number |%     |previous |difference |
+==========+=======+======+=========+===========+
|code      |178    |68.46 |NC       |NC         |
+----------+-------+------+---------+-----------+
|docstring |55     |21.15 |NC       |NC         |
+----------+-------+------+---------+-----------+
|comment   |6      |2.31  |NC       |NC         |
+----------+-------+------+---------+-----------+
|empty     |21     |8.08  |NC       |NC         |
+----------+-------+------+---------+-----------+



Duplication
-----------

+-------------------------+------+---------+-----------+
|                         |now   |previous |difference |
+=========================+======+=========+===========+
|nb duplicated lines      |0     |NC       |NC         |
+-------------------------+------+---------+-----------+
|percent duplicated lines |0.000 |NC       |NC         |
+-------------------------+------+---------+-----------+



Messages by category
--------------------

+-----------+-------+---------+-----------+
|type       |number |previous |difference |
+===========+=======+=========+===========+
|convention |8      |NC       |NC         |
+-----------+-------+---------+-----------+
|refactor   |3      |NC       |NC         |
+-----------+-------+---------+-----------+
|warning    |33     |NC       |NC         |
+-----------+-------+---------+-----------+
|error      |169    |NC       |NC         |
+-----------+-------+---------+-----------+



% errors / warnings by module
-----------------------------

+---------+------+--------+---------+-----------+
|module   |error |warning |refactor |convention |
+=========+======+========+=========+===========+
|sflegacy |99.41 |100.00  |100.00   |100.00     |
+---------+------+--------+---------+-----------+
|sfclient |0.59  |0.00    |0.00     |0.00       |
+---------+------+--------+---------+-----------+



Messages
--------

+-----------------------+------------+
|message id             |occurrences |
+=======================+============+
|undefined-variable     |163         |
+-----------------------+------------+
|unused-variable        |26          |
+-----------------------+------------+
|fixme                  |7           |
+-----------------------+------------+
|invalid-name           |6           |
+-----------------------+------------+
|used-before-assignment |4           |
+-----------------------+------------+
|too-many-statements    |1           |
+-----------------------+------------+
|too-many-locals        |1           |
+-----------------------+------------+
|too-many-branches      |1           |
+-----------------------+------------+
|syntax-error           |1           |
+-----------------------+------------+
|superfluous-parens     |1           |
+-----------------------+------------+
|no-member              |1           |
+-----------------------+------------+
|line-too-long          |1           |
+-----------------------+------------+



Global evaluation
-----------------
Your code has been rated at -50.48/10

Statistics by type
------------------

+---------+-------+-----------+-----------+------------+---------+
|type     |number |old number |difference |%documented |%badname |
+=========+=======+===========+===========+============+=========+
|module   |1      |NC         |NC         |100.00      |0.00     |
+---------+-------+-----------+-----------+------------+---------+
|class    |0      |NC         |NC         |0           |0        |
+---------+-------+-----------+-----------+------------+---------+
|method   |0      |NC         |NC         |0           |0        |
+---------+-------+-----------+-----------+------------+---------+
|function |7      |NC         |NC         |100.00      |0.00     |
+---------+-------+-----------+-----------+------------+---------+



